"year","sex","age","comp_use","employment","employment_type","hours_worked","employees_workplace","importance_comp","complexity_comp","experience","sector","skill_change","ethnicity","region","hourly_pay","weight","employees_comp","pid","highest_qualification","knowledge_share","experience_share"
2012,1,51,1,1,1,-3,5,2,3,35,1,3,1,11,NA,12617,2,868,1,28.1818181818182,71.8181818181818
2012,1,34,1,1,1,38,5,1,2,12,1,1,1,3,15.1821870803833,27426,1,869,3,29.6296296296296,70.3703703703704
1997,1,27,NA,1,1,40,5,1,4,8,1,1,1,9,9.875,6879,NA,869,3,32.9787234042553,67.0212765957447
2017,2,45,NA,1,2,27,3,1,2,29,1,3,1,2,NA,11926,4,869,1,16.6666666666667,83.3333333333333
2017,2,52,NA,1,1,40,2,3,2,34,2,1,1,3,11.5384616851807,4763,1,871,2,29.8076923076923,70.1923076923077
2012,2,50,1,1,1,37,3,1,2,33,2,1,1,4,15.3742198944092,4333,1,875,1,24.6575342465753,75.3424657534247
2017,1,32,NA,1,1,40,1,1,4,10,1,3,1,2,32.6923065185547,6415,1,875,4,41.4285714285714,58.5714285714286
2012,1,40,2,1,1,39,5,3,1,15,1,1,1,2,7.94999980926514,6498,5,877,1,23.8938053097345,76.1061946902655
2017,2,53,NA,1,1,50,2,5,NA,15,1,3,1,6,9.61538410186768,12787,NA,880,2,28,72
2012,2,53,1,1,1,37,3,2,2,14,2,1,1,1,NA,3355,1,880,1,24.1379310344828,75.8620689655172
2017,1,36,NA,1,1,48,5,3,2,13,2,1,3,4,48.0769233703613,12830,1,881,4,23.3333333333333,76.6666666666667
2017,1,49,NA,1,1,55,4,5,NA,33,1,3,1,3,10.4895105361938,18347,5,882,4,30.7692307692308,69.2307692307692
2012,2,22,2,1,1,39,5,5,NA,4,1,3,1,10,6.60256433486938,3283,4,884,1,20,80
2017,2,39,NA,1,2,16,5,1,2,21,2,1,1,6,18.0288467407227,11591,1,884,2,33.7209302325581,66.2790697674419
2012,1,55,2,1,1,-3,3,5,NA,35,1,3,1,3,NA,6047,6,885,1,26.4705882352941,73.5294117647059
2017,1,44,NA,1,1,45,2,4,2,18,2,1,1,1,16.6666660308838,11564,1,885,4,16.6666666666667,83.3333333333333
2012,2,50,1,1,1,37,5,2,4,30,2,1,1,10,NA,1533,2,886,1,30.3030303030303,69.6969696969697
2017,1,56,NA,1,1,38,5,3,1,39,1,3,1,6,13.6639680862427,11177,2,886,1,20,80
2017,1,53,NA,1,1,48,3,2,1,35,1,1,1,6,10.817307472229,11847,2,887,4,18.0555555555556,81.9444444444444
2017,1,28,NA,1,1,40,4,1,3,10,1,3,1,10,12.0192308425903,2974,4,888,2,23.4042553191489,76.5957446808511
2017,1,51,NA,1,1,40,NA,1,1,27,2,3,1,7,NA,6270,1,889,4,24.1610738255034,75.8389261744966
2012,2,31,1,1,2,17,3,2,2,9,3,3,1,6,7.78426837921143,11034,1,889,2,27.5,72.5
2012,2,29,1,1,1,35,3,1,2,8,2,1,1,1,18.4065933227539,13590,1,890,2,21.4285714285714,78.5714285714286
2012,1,56,1,1,1,45,2,2,1,40,1,3,1,10,15,879,3,891,1,32.1428571428571,67.8571428571429
2017,1,36,NA,1,2,-3,2,1,3,9,2,1,3,8,NA,11850,1,891,3,24.3055555555556,75.6944444444444
2012,1,31,1,1,1,37,4,1,2,10,1,1,1,10,13,2304,1,892,1,30.4347826086957,69.5652173913043
2012,2,53,1,1,1,48,3,1,1,36,1,3,1,10,6.40000009536743,823,2,893,NA,25.2631578947368,74.7368421052632
2017,1,31,NA,1,1,35,4,1,2,5,1,3,1,8,9.89999961853027,7070,1,893,4,23.8095238095238,76.1904761904762
2012,2,35,1,1,1,37,2,1,1,19,1,3,1,2,NA,11034,1,894,1,22.5225225225225,77.4774774774775
2012,1,47,1,1,1,37,4,1,2,25,2,1,1,5,12.4740123748779,6095,1,895,1,29.8969072164948,70.1030927835051
2017,2,32,NA,1,2,-3,3,5,NA,14,1,3,1,10,8.24175834655762,2718,6,895,1,24.7311827956989,75.2688172043011
2012,1,34,1,1,1,37,3,1,2,12,2,1,1,3,10.6110734939575,7221,1,897,1,27.6595744680851,72.3404255319149
2017,2,36,NA,1,2,32,3,1,2,15,2,1,1,7,NA,5259,3,897,1,17.2413793103448,82.7586206896552
1997,1,24,NA,1,2,25,2,5,NA,2,1,NA,4,9,3,11891,NA,899,NA,21.7391304347826,78.2608695652174
2017,2,37,NA,1,2,23,3,1,4,11,3,1,1,7,15.886287689209,9213,1,901,4,19.7530864197531,80.2469135802469
2012,1,45,1,1,1,60,3,1,2,22,1,2,1,10,16.0256404876709,2048,4,902,2,24.4444444444444,75.5555555555556
2017,2,45,NA,1,2,27,3,1,2,16,2,1,1,5,11.7521362304688,10822,1,902,3,26.0869565217391,73.9130434782609
2017,1,26,NA,1,1,40,5,1,3,4,1,1,1,5,10.0961542129517,16955,3,904,1,27.3809523809524,72.6190476190476
2017,2,28,NA,1,1,37,2,1,3,6,1,1,1,5,11.4345121383667,12175,6,905,1,33.3333333333333,66.6666666666667
2017,1,50,NA,1,1,38,3,1,2,34,1,1,1,1,27.3279361724854,14121,1,906,3,22.3880597014925,77.6119402985075
2017,1,50,NA,1,1,48,3,5,NA,32,1,3,1,3,NA,11620,3,907,3,31.25,68.75
2017,2,43,NA,1,1,38,5,5,NA,25,2,2,1,3,8.60323810577393,8973,5,908,1,14.5454545454545,85.4545454545455
2017,1,34,NA,1,1,40,3,2,2,13,2,3,1,3,9.13461494445801,12830,6,909,2,20.4819277108434,79.5180722891566
2017,2,29,NA,1,1,40,5,3,2,13,1,3,2,3,7.21153879165649,6193,5,910,1,25,75
2017,1,31,NA,1,1,47,3,1,3,8,1,1,1,9,16.3666114807129,11887,5,911,1,23.5955056179775,76.4044943820225
2017,1,57,NA,1,1,40,4,4,5,36,1,3,1,3,8.5,23694,5,912,2,25.8620689655172,74.1379310344828
2017,1,40,NA,1,1,35,4,1,2,19,1,1,1,10,39.2857131958008,3603,1,914,2,29.4117647058824,70.5882352941177
2017,2,44,NA,1,1,38,3,1,2,23,2,1,1,9,11.1336030960083,10822,1,915,4,23.469387755102,76.530612244898
2017,1,54,NA,1,1,38,3,1,4,38,1,1,1,6,54.6558723449707,14121,1,916,2,20.7692307692308,79.2307692307692
1997,2,30,NA,1,2,30.0000019073486,3,5,NA,13,1,2,1,9,3.45000004768372,10152,NA,917,1,0,100
2017,1,33,NA,1,1,37,4,1,3,13,2,3,1,6,22.0893974304199,11238,4,918,2,27.5229357798165,72.4770642201835
2017,1,51,NA,1,2,36,1,1,1,30,1,1,1,7,972.222229003906,10985,1,920,2,29.4642857142857,70.5357142857143
2017,2,34,NA,1,2,16,1,5,NA,3,1,NA,1,8,9.375,4687,6,921,2,7.69230769230769,92.3076923076923
2012,1,58,2,1,1,42,2,1,3,42,1,1,1,6,19.0476188659668,11343,1,922,1,28.7037037037037,71.2962962962963
2012,1,34,1,1,1,39,5,4,1,16,NA,1,3,2,9.61538505554199,6932,4,923,1,26.530612244898,73.469387755102
2017,2,33,NA,1,1,39,4,2,3,10,1,1,1,5,9.8619327545166,9213,3,923,2,34.2105263157895,65.7894736842105
2017,1,42,NA,1,1,38,4,3,2,18,3,3,1,3,9.27579975128174,12470,2,924,4,28,72
2012,2,52,2,1,2,18,3,5,NA,22,1,2,1,9,7.19999980926514,3355,5,924,4,25.2100840336134,74.7899159663866
2017,2,40,NA,1,1,38,3,1,1,15,3,1,2,6,10.1973686218262,8973,1,925,1,25,75
2017,1,54,NA,1,1,48,2,5,NA,16,1,3,1,3,8.01282024383545,5810,6,927,1,25.531914893617,74.468085106383
2012,1,60,2,1,1,50,2,5,NA,45,1,3,1,2,6.69999980926514,10467,4,928,1,28.125,71.875
2017,2,47,NA,1,2,18,3,3,1,23,2,3,1,8,7.48397397994995,8973,5,929,2,25.4098360655738,74.5901639344262
2012,1,45,1,1,1,37,3,1,1,25,1,1,1,2,6.5,6889,5,929,1,22.3300970873786,77.6699029126214
2012,1,60,1,1,1,32,2,2,2,42,1,3,1,2,6.25,6411,3,930,1,30.188679245283,69.811320754717
2012,2,39,1,1,2,30,5,2,2,23,1,1,1,3,16.0256404876709,5238,4,932,1,23.8095238095238,76.1904761904762
2012,1,24,1,1,2,25,4,2,1,6,1,3,1,3,6.07999992370605,24253,1,933,1,28.3950617283951,71.6049382716049
2017,2,52,NA,1,1,31,2,4,5,35,1,3,1,7,7.5,13743,NA,936,1,25.8064516129032,74.1935483870968
2012,2,42,1,1,2,25,3,2,2,17,1,3,1,3,38.1538467407227,4600,1,936,2,27.8350515463918,72.1649484536082
2012,2,53,2,1,2,30,3,4,1,37,1,2,1,8,7.5,3998,5,937,1,17.5,82.5
2012,1,54,1,1,1,55,4,4,7,33,1,3,1,8,8.39999961853027,12094,5,938,2,25.3968253968254,74.6031746031746
2017,1,30,NA,1,1,40,3,3,1,7,1,3,3,7,8.65384578704834,5717,3,940,4,26.7326732673267,73.2673267326733
2012,1,29,1,1,1,45,3,2,1,11,1,2,1,8,7.19999980926514,8525,4,940,1,18.1818181818182,81.8181818181818
2017,2,35,NA,1,2,28,5,1,2,13,2,3,3,7,21.9780235290527,4606,1,941,4,26.5060240963855,73.4939759036145
2017,1,27,NA,1,1,45,4,1,3,5,1,3,3,7,15.8119659423828,25433,1,943,4,31.7073170731707,68.2926829268293
2012,2,59,1,1,2,18,2,5,NA,30,1,3,1,8,NA,9796,6,943,1,20.2020202020202,79.7979797979798
2017,1,32,NA,1,1,40,4,1,2,6,1,1,2,7,36.0576934814453,6415,1,944,4,19.5402298850575,80.4597701149425
2012,1,42,2,1,1,50,2,4,1,24,3,3,1,8,6.28999996185303,9439,5,944,1,26.4705882352941,73.5294117647059
2012,2,42,1,1,2,15,4,2,1,24,1,1,4,1,7.69822931289673,10527,1,945,1,26.8292682926829,73.1707317073171
2017,1,46,NA,1,2,24,1,5,NA,3,1,3,4,7,NA,12470,6,947,1,26.7605633802817,73.2394366197183
2012,1,56,1,1,1,40,5,1,3,34,1,3,1,1,NA,6309,1,947,2,31.2,68.8
2012,1,26,1,1,1,38,4,1,1,9,1,1,1,6,6.5,9039,1,948,1,22.4806201550388,77.5193798449613
2012,2,24,1,1,2,16,4,3,1,5,1,NA,1,3,6.5,6176,3,949,1,28.3018867924528,71.6981132075472
2017,2,30,NA,1,2,-3,3,2,4,10,1,3,1,8,6.66666650772095,8721,1,950,1,28.5714285714286,71.4285714285714
2017,2,30,NA,1,2,22,4,1,2,13,1,1,1,7,NA,5795,1,951,1,22.7848101265823,77.2151898734177
2017,1,59,NA,1,1,-3,5,2,3,35,3,1,1,8,NA,12541,2,952,4,21.1864406779661,78.8135593220339
2012,2,46,1,1,2,19,2,1,3,21,2,1,1,9,8,10816,1,953,1,28.8659793814433,71.1340206185567
2012,1,51,1,1,1,50,2,3,2,33,1,1,1,8,10,5233,2,955,2,26.6666666666667,73.3333333333333
2012,2,54,1,1,1,37,2,1,3,30,2,1,1,8,NA,18253,1,957,1,18.75,81.25
2012,2,46,2,1,1,40,4,4,7,24,1,1,1,10,11.5299997329712,870,1,958,1,23.6220472440945,76.3779527559055
2017,1,58,NA,1,1,60,4,2,2,30,1,1,1,8,17.6282043457031,5493,4,958,1,23.728813559322,76.271186440678
2012,2,43,1,1,2,27,5,2,3,20,2,3,1,9,17.0100002288818,10359,1,959,3,26.7175572519084,73.2824427480916
2017,2,51,NA,1,2,11,2,1,2,30,1,1,1,5,NA,22660,1,959,1,27.6315789473684,72.3684210526316
2012,1,25,2,1,2,12,2,5,NA,4,1,3,1,9,6,24253,3,960,1,17.5,82.5
2012,2,45,1,1,1,37,5,1,2,27,1,1,1,4,9.05000019073486,4656,4,961,1,23.943661971831,76.056338028169
2012,1,49,1,1,1,42,3,4,1,33,1,3,1,4,11.4468860626221,12324,3,962,1,19.6428571428571,80.3571428571429
2017,2,26,NA,1,1,-3,3,1,1,NA,1,3,3,11,7.5,7659,5,964,NA,19.7530864197531,80.2469135802469
2012,1,45,1,1,1,50,2,1,4,24,1,3,1,11,NA,6021,1,964,4,26.7123287671233,73.2876712328767
2012,1,36,1,1,1,37,3,1,2,14,2,1,4,8,14.0332641601562,15254,1,965,4,25.3521126760563,74.6478873239437
2012,1,29,1,1,1,40,2,1,2,8,3,1,1,8,6.00961542129517,6192,1,967,1,19.3181818181818,80.6818181818182
2012,1,23,1,1,2,8,5,2,1,4,2,1,1,8,20.2078514099121,12383,3,968,1,28.5714285714286,71.4285714285714
2012,2,48,1,1,1,30,2,1,2,30,2,3,1,2,14.7435894012451,5179,1,969,1,23.3333333333333,76.6666666666667
2012,1,59,1,1,1,70,5,2,1,38,1,1,1,2,NA,5233,5,970,1,32.9896907216495,67.0103092783505
2012,2,32,1,1,1,40,5,2,2,16,2,1,1,8,14.9038467407227,10477,1,971,1,26.3157894736842,73.6842105263158
2017,2,32,NA,1,1,38,4,3,1,10,2,1,1,5,10.7793521881104,9213,1,974,1,25.2631578947368,74.7368421052632
2012,2,29,NA,1,1,37,5,3,1,11,2,1,1,10,12.9937629699707,2283,5,974,1,18.6046511627907,81.3953488372093
2017,2,22,NA,1,1,33,2,4,2,3,1,3,4,5,NA,17287,4,975,1,19.3548387096774,80.6451612903226
2012,2,26,1,1,1,35,4,1,2,9,1,3,1,10,9.89011001586914,2320,1,975,1,31.3953488372093,68.6046511627907
2017,2,43,NA,1,2,15,4,5,NA,23,2,2,1,10,7.5,3005,NA,976,1,30.952380952381,69.0476190476191
2017,1,46,NA,1,1,40,2,1,1,18,2,1,3,3,18.269229888916,11564,1,978,2,27.1739130434783,72.8260869565217
2017,1,55,NA,1,1,-3,2,1,1,35,1,3,3,7,NA,10985,1,979,1,23.8095238095238,76.1904761904762
2017,1,49,NA,1,1,45,5,1,3,25,1,1,3,7,26.6666660308838,13201,1,980,2,28.0373831775701,71.9626168224299
2012,2,25,1,1,1,30,4,1,2,3,2,1,1,10,7.69822931289673,2162,1,981,1,19.3548387096774,80.6451612903226
2017,1,45,NA,1,1,38,3,5,NA,20,1,3,1,3,7.64423084259033,6116,NA,982,1,26.3157894736842,73.6842105263158
2012,1,31,1,1,1,48,4,1,3,10,2,1,1,1,17.2275638580322,15501,1,982,1,23.0769230769231,76.9230769230769
2017,2,56,NA,1,2,15,2,5,NA,30,1,3,1,3,9.23787498474121,4581,6,983,1,23.0769230769231,76.9230769230769
2012,2,31,1,1,2,15,4,3,2,13,1,2,1,10,7.80000019073486,880,1,983,1,25.3521126760563,74.6478873239437
2012,2,34,1,1,2,22,2,1,2,6,2,1,1,9,16.7961368560791,5827,1,984,1,23.5955056179775,76.4044943820225
2017,1,52,NA,1,1,45,2,3,1,36,1,1,1,11,NA,5923,2,985,1,28.8659793814433,71.1340206185567
2012,2,47,2,1,2,10,2,5,NA,24,1,NA,1,2,6.69999980926514,9415,6,985,1,19.8412698412698,80.1587301587302
2017,1,50,NA,1,1,45,4,5,NA,30,1,3,1,11,7.69822931289673,5588,5,986,1,19.047619047619,80.9523809523809
2017,1,49,NA,1,1,38,3,4,5,23,1,2,1,3,6.68530416488647,6116,4,987,1,30.2631578947368,69.7368421052632
2017,2,20,NA,1,2,18,2,3,1,NA,1,1,1,2,5.59999990463257,17287,2,988,1,17.0454545454545,82.9545454545455
2017,2,43,NA,1,2,16,2,1,3,21,1,3,1,9,22.2355766296387,5411,1,989,1,29.8076923076923,70.1923076923077
2017,1,46,NA,1,1,30,3,3,2,23,1,3,1,3,10.7775211334229,5782,5,990,2,22,78
2012,1,42,2,1,2,12,3,5,NA,20,1,3,1,9,NA,4719,6,991,1,22.5,77.5
2017,1,44,NA,1,1,42,4,2,2,27,1,1,1,3,15.1098890304565,12231,2,991,1,27.2727272727273,72.7272727272727
2017,2,41,NA,1,1,45,4,1,2,17,2,1,1,3,16.3561706542969,10822,1,992,1,25.5474452554745,74.4525547445255
2017,2,44,NA,1,1,34,3,1,3,28,2,1,1,3,13.0090494155884,12185,1,993,1,20.6106870229008,79.3893129770992
2017,2,60,NA,1,2,20,3,1,2,37,2,1,1,9,19.006929397583,10280,1,994,2,19.5121951219512,80.4878048780488
2012,2,29,2,1,2,20,2,5,NA,7,1,1,1,1,6,6176,3,994,2,27.7310924369748,72.2689075630252
2017,1,52,NA,1,1,50,3,1,2,31,2,3,1,9,16.1538467407227,6270,1,995,2,22.5225225225225,77.4774774774775
2012,2,24,1,1,2,27,3,1,4,7,1,1,1,4,7.80000019073486,12867,1,995,1,29.3577981651376,70.6422018348624
2012,2,40,2,1,2,6,3,5,NA,14,2,1,1,5,9.61538410186768,9415,6,996,1,23.8095238095238,76.1904761904762
2017,2,49,NA,1,1,32,4,1,2,33,2,3,1,3,7.51201915740967,9644,1,996,3,26.7441860465116,73.2558139534884
2012,1,47,1,1,1,40,3,4,2,26,3,3,1,10,16.8269233703613,1890,3,997,1,26.5486725663717,73.4513274336283
2012,2,48,1,1,1,30,3,1,2,24,2,2,1,9,7.692307472229,9808,1,998,1,23.9583333333333,76.0416666666667
2017,1,40,NA,1,1,40,4,1,3,19,1,1,1,8,24.519229888916,11564,1,999,1,31.7647058823529,68.2352941176471
2012,2,59,1,1,2,16,2,1,2,39,1,2,1,3,8,4563,2,999,3,22.7848101265823,77.2151898734177
2017,2,23,NA,1,1,55,2,4,2,6,1,1,1,6,5.45874452590942,24774,1,1000,2,18.8118811881188,81.1881188118812
2012,1,32,1,1,1,45,4,1,2,10,1,3,1,9,21.3675212860107,13713,1,1000,1,25.6198347107438,74.3801652892562
2012,2,30,1,1,1,39,2,1,3,14,1,1,1,3,8.87573909759521,5517,1,1001,1,20.6185567010309,79.3814432989691
2012,1,60,2,1,1,38,2,5,NA,40,1,1,1,3,8.5,5233,3,1002,NA,33,67
2017,2,39,NA,1,1,39,3,2,2,12,2,2,2,7,8.16666698455811,4857,2,1002,1,26.3157894736842,73.6842105263158
2012,1,57,1,1,1,37,4,1,3,41,1,3,1,1,20.7900199890137,11343,1,1003,1,25.625,74.375
2012,2,46,2,1,1,40,3,1,2,30,1,2,1,6,NA,14712,1,1005,1,31.4814814814815,68.5185185185185
2017,2,38,NA,1,2,24,2,5,NA,8,1,3,1,8,8.33333301544189,4687,5,1005,1,22.2222222222222,77.7777777777778
2012,2,37,2,1,1,34,3,5,NA,7,1,1,2,3,6.07999992370605,4056,5,1006,4,18.6915887850467,81.3084112149533
2012,1,30,1,1,2,11,3,1,2,12,1,3,1,3,NA,5309,1,1007,1,20.2898550724638,79.7101449275362
2012,2,29,1,1,1,37,2,3,1,5,2,1,1,11,13.7733888626099,13590,1,1008,2,22.1153846153846,77.8846153846154
2017,1,31,NA,1,2,16,3,2,2,5,2,1,2,2,9.0213623046875,5717,5,1008,2,25.4901960784314,74.5098039215686
2017,2,26,NA,1,2,20,4,3,2,8,1,3,1,2,7.59999990463257,6419,5,1009,1,26.865671641791,73.134328358209
2012,1,21,2,1,1,40,1,3,1,5,1,1,1,2,NA,22136,3,1009,1,26.056338028169,73.943661971831
2012,2,38,1,1,2,20,5,1,1,18,1,3,1,1,NA,11843,1,1010,1,27.5590551181102,72.4409448818898
2012,1,34,1,1,1,39,5,1,2,17,1,1,1,11,18.4911251068115,6774,1,1011,1,22.5,77.5
2012,1,56,1,1,2,18,4,1,2,38,3,1,1,10,16.0256423950195,1906,3,1012,1,22.3300970873786,77.6699029126214
2017,1,39,NA,1,2,29,2,2,2,17,3,3,1,7,19.230770111084,11238,NA,1014,4,27.3809523809524,72.6190476190476
2017,1,36,NA,1,1,45,4,1,3,13,1,1,1,7,29.0598278045654,19245,1,1015,1,25.9259259259259,74.0740740740741
2012,2,47,1,1,2,29,2,2,1,15,1,1,1,1,10.710000038147,10527,1,1015,2,27.1428571428571,72.8571428571428
2017,2,29,NA,1,1,35,5,1,2,12,1,1,1,2,13.9010982513428,15318,1,1016,1,33.3333333333333,66.6666666666667
2017,1,34,NA,1,1,50,1,3,5,20,1,1,1,8,10,12120,2,1017,1,22.680412371134,77.319587628866
2012,1,26,2,1,1,50,3,4,1,5,1,1,2,3,6.40000009536743,15992,5,1017,1,17.2043010752688,82.7956989247312
2017,1,47,NA,1,1,35,2,1,3,24,1,1,4,8,NA,29728,1,1018,4,24.3243243243243,75.6756756756757
2017,2,54,NA,1,2,25,3,1,2,30,2,1,1,4,9,11330,1,1019,2,31.5217391304348,68.4782608695652
2017,2,46,NA,1,2,25,5,1,2,30,2,3,1,4,9,17890,1,1020,2,29.2452830188679,70.7547169811321
2017,2,26,NA,1,1,40,2,1,3,7,1,1,1,4,10.9699764251709,6949,1,1021,4,21.3793103448276,78.6206896551724
2017,1,28,NA,1,1,42,2,3,2,9,1,1,1,5,16.0256404876709,16017,4,1022,1,26.4957264957265,73.5042735042735
2012,1,47,1,1,1,40,4,3,2,28,3,1,1,9,11.2980766296387,6779,4,1022,1,21.7391304347826,78.2608695652174
2012,1,46,2,1,1,38,2,5,NA,30,1,2,1,10,NA,2183,3,1023,1,37.7049180327869,62.2950819672131
2012,2,40,1,1,2,20,4,1,3,25,2,3,1,1,NA,4656,1,1024,2,26.5625,73.4375
1997,1,36,NA,1,1,42,5,3,2,20,2,3,1,9,6.41025638580322,5853,NA,1025,1,31.8181818181818,68.1818181818182
2012,2,59,1,1,2,20,3,4,1,43,1,3,1,10,6.25,823,3,1025,1,23.728813559322,76.271186440678
2012,2,26,1,1,2,28,2,2,1,6,1,1,1,11,7.01088762283325,13811,1,1027,2,26.6666666666667,73.3333333333333
2012,1,59,1,1,1,37,5,1,2,38,2,3,1,10,12,879,1,1030,2,32.7586206896552,67.2413793103448
2012,2,42,1,1,2,16,3,2,1,NA,1,NA,1,3,6.125,5263,1,1032,1,16.3934426229508,83.6065573770492
1997,1,40,NA,1,1,50,2,4,6,14,1,1,1,9,4.5,10425,NA,1033,NA,22.8260869565217,77.1739130434783
2012,2,41,1,1,2,20,5,3,1,23,1,2,1,2,6.34999990463257,4708,1,1033,1,26.0869565217391,73.9130434782609
2012,2,27,2,1,2,16,3,5,NA,10,1,2,1,2,6.15999984741211,6176,3,1034,1,18.8235294117647,81.1764705882353
2017,1,45,NA,1,1,45,3,1,4,27,1,3,1,10,9.82905960083008,2316,3,1035,1,23.4177215189873,76.5822784810127
1997,1,34,NA,1,1,50,2,5,NA,18,1,3,1,9,5,5025,NA,1035,2,26.9662921348315,73.0337078651685
2017,2,53,NA,1,2,20,4,5,NA,32,2,3,1,2,6.92840671539307,4581,NA,1036,2,33.8235294117647,66.1764705882353
2012,2,48,1,1,1,70,2,1,3,25,1,3,1,3,41.2087936401367,5179,1,1036,4,29.4573643410853,70.5426356589147
1997,2,39,NA,1,2,0,2,5,NA,20,1,1,1,9,1.79999995231628,9137,NA,1038,NA,35.8695652173913,64.1304347826087
2017,1,33,NA,1,1,50,3,2,2,11,1,3,1,10,15.3846158981323,2203,5,1038,4,23.021582733813,76.9784172661871
2017,2,32,NA,1,1,38,5,2,3,9,2,1,1,1,8.70445346832275,4360,1,1039,4,27.8350515463918,72.1649484536082
2017,1,38,NA,1,1,35,5,1,3,21,1,3,1,3,14.8351650238037,11850,1,1040,1,25.2100840336134,74.7899159663866
2012,1,24,1,1,1,36,5,1,3,1,1,1,1,1,9.61538410186768,7996,1,1041,4,27.5862068965517,72.4137931034483
2017,2,50,NA,1,2,30,5,1,2,32,2,1,1,3,21.7948703765869,10280,2,1041,4,20.9459459459459,79.0540540540541
1997,2,33,NA,1,2,14,2,1,1,7,1,NA,1,9,3.75,8502,NA,1042,1,9.80392156862745,90.1960784313726
2017,2,39,NA,1,1,33,3,1,2,16,2,1,1,10,NA,3612,1,1043,1,31.3131313131313,68.6868686868687
2012,1,50,1,1,2,-3,4,1,2,30,2,3,1,3,NA,5734,5,1043,3,24.6753246753247,75.3246753246753
2012,1,60,1,1,1,40,2,3,2,38,1,3,1,8,9.61538505554199,16810,1,1044,1,23.015873015873,76.984126984127
2012,1,44,1,1,1,38,4,1,2,17,1,3,1,6,7.36999988555908,12324,2,1045,1,36.5591397849462,63.4408602150538
2017,2,55,NA,1,1,45,4,1,2,38,2,1,1,5,24.3589744567871,11575,1,1045,4,24.2647058823529,75.7352941176471
2012,2,53,2,1,2,6,4,5,NA,28,2,1,1,1,8,8762,1,1046,1,24,76
2012,2,56,1,1,2,21,3,1,2,25,3,1,1,5,NA,14459,2,1047,2,17.3469387755102,82.6530612244898
2012,1,40,1,1,1,37,4,1,2,20,3,1,1,5,8.83575820922852,12837,1,1050,1,17.2413793103448,82.7586206896552
2012,2,44,1,1,1,32,2,3,2,27,2,1,1,1,10.2163457870483,7211,1,1051,1,24.2424242424242,75.7575757575758
2012,1,55,1,1,1,54,5,1,1,38,2,3,1,5,14.9572649002075,11343,1,1053,1,25.4901960784314,74.5098039215686
2017,2,45,NA,1,1,36,5,1,3,27,1,1,1,9,16.0256423950195,5963,1,1053,2,29.5652173913043,70.4347826086957
1997,1,37,NA,1,1,30.0000019073486,4,5,NA,19,1,1,1,9,7.33333349227905,5025,NA,1053,NA,9.30232558139535,90.6976744186046
2017,2,38,NA,1,1,40,5,1,3,17,2,2,1,11,18.269229888916,11591,1,1055,1,34.2105263157895,65.7894736842105
1997,2,53,NA,1,2,20,3,1,1,20,2,1,1,9,5.40000009536743,10313,NA,1057,2,23.7113402061856,76.2886597938144
2012,2,36,1,1,1,30,2,2,2,19,1,3,1,2,8.01282024383545,4056,1,1058,1,26.6666666666667,73.3333333333333
1997,2,50,NA,1,2,22,3,2,2,21,2,1,1,9,5.57000017166138,14395,NA,1058,3,30.3030303030303,69.6969696969697
2017,2,46,NA,1,1,40,1,2,1,22,1,1,4,2,NA,8973,1,1059,4,20.8955223880597,79.1044776119403
2012,1,56,1,1,1,65,2,2,2,39,1,3,1,10,NA,2824,3,1059,1,24.0875912408759,75.9124087591241
2017,2,60,NA,1,2,16,2,4,1,30,1,1,2,7,12.0192308425903,4748,5,1060,1,25.7425742574257,74.2574257425743
2012,1,41,1,1,1,50,4,1,3,25,1,3,1,4,NA,11248,1,1060,2,28.9719626168224,71.0280373831776
1997,2,32,NA,1,1,45,4,1,2,15,1,1,1,9,6,4251,NA,1060,1,31.6831683168317,68.3168316831683
2017,2,41,NA,1,2,5,3,1,1,9,2,1,3,7,5.76923084259033,8973,3,1061,4,23.3333333333333,76.6666666666667
2012,1,37,1,1,1,39,4,1,2,15,1,3,1,4,12,7751,1,1061,1,22.2222222222222,77.7777777777778
2012,1,27,2,1,1,38,5,3,2,11,1,1,1,3,13.6700000762939,14757,2,1062,1,25.6880733944954,74.3119266055046
2017,1,54,NA,1,1,38,5,1,4,38,3,1,1,4,NA,21971,NA,1063,1,32.5,67.5
2017,2,42,NA,1,1,37,3,1,2,20,2,2,2,4,25.9875259399414,12185,1,1064,1,22.3021582733813,77.6978417266187
2017,2,44,NA,1,1,40,3,1,1,20,1,2,1,4,6.5,9644,2,1065,1,26.4462809917355,73.5537190082645
2017,1,50,NA,1,1,30,4,2,1,15,2,1,1,4,9.16666698455811,11177,1,1066,4,25.6880733944954,74.3119266055046
2012,2,50,1,1,1,40,5,1,2,15,2,1,1,8,43.2692337036133,4281,1,1066,2,26.0504201680672,73.9495798319328
1997,1,50,NA,1,1,30.0000019073486,4,3,1,34,1,3,1,9,4.21000003814697,5532,NA,1067,2,21.25,78.75
2012,2,51,1,1,2,12,2,4,1,24,1,2,1,3,6.30000019073486,14694,1,1067,2,19.1489361702128,80.8510638297872
2017,1,38,NA,1,1,50,5,2,2,17,1,1,1,4,26.9230766296387,5619,1,1068,4,17,83
2012,2,35,1,1,2,15,NA,1,2,10,2,1,1,8,14.1666669845581,11654,1,1069,4,24.1379310344828,75.8620689655172
2012,1,49,1,1,1,50,5,1,2,28,1,1,1,9,NA,6779,1,1070,2,26.4705882352941,73.5294117647059
